,cost,iteration
0,2.1870947432402987,0
1,2.039471761098393,100
2,1.8782818985375038,200
3,1.8023244579896815,300
4,1.6981997296589078,400
5,1.6022882827264597,500
6,1.5881863297941383,600
7,1.4319775563984858,700
8,1.36427847664053,800
9,1.254854927259522,900
10,1.24680383813917,1000
11,1.1764926516327474,1100
12,1.1680500340934596,1200
13,1.0482622782447706,1300
14,1.0247647475522674,1400
15,0.9702360186542658,1500
16,0.8794547122187415,1600
17,0.8349813312143672,1700
18,0.8632664958177757,1800
19,0.7748157801200317,1900
20,0.7396565283441541,2000
21,0.7966483029648398,2100
22,0.6581487089706961,2200
23,0.752706881661543,2300
24,0.6476708497858205,2400
25,0.5998977225852188,2500
26,0.6233296398755965,2600
27,0.6043974024033869,2700
28,0.5301668938418116,2800
29,0.5635783296093819,2900
30,0.4673432865869977,3000
31,0.520957034905513,3100
32,0.48544828729756767,3200
33,0.47071401579287975,3300
34,0.4615311357091124,3400
35,0.5101699095199341,3500
36,0.4532045423467435,3600
37,0.3716847184321257,3700
38,0.307252366212603,3800
39,0.4779550269688101,3900
40,0.40476733971177703,4000
41,0.37917896268593443,4100
42,0.3372931329587621,4200
43,0.4183413197914553,4300
44,0.32236333691755004,4400
45,0.33454503093175736,4500
46,0.4502472459063585,4600
47,0.47391675030811253,4700
48,0.3006060865811447,4800
49,0.3905976685043542,4900
50,0.2969292752874917,5000
51,0.2959486047748899,5100
52,0.407319795128624,5200
53,0.35217257791498496,5300
54,0.32528565966487394,5400
55,0.2624256294371097,5500
56,0.2912653494006821,5600
57,0.33413197035244235,5700
58,0.29318396468474767,5800
59,0.2738856514786424,5900
60,0.25805143681392384,6000
61,0.2729558396796951,6100
62,0.28724895328598865,6200
63,0.2642872027752381,6300
64,0.2749408073808112,6400
65,0.2623833774498896,6500
66,0.3031503523669047,6600
67,0.3193085443026479,6700
68,0.34461624254626416,6800
69,0.2605727421302045,6900
70,0.3411425531038269,7000
71,0.2831685601015677,7100
72,0.2844567596333861,7200
73,0.32925295162262647,7300
74,0.29096929393017035,7400
75,0.23873978649530578,7500
76,0.2925980940140744,7600
77,0.2548252324596538,7700
78,0.2516488069775834,7800
79,0.2524511143584327,7900
80,0.281231111900137,8000
81,0.25974531495691655,8100
82,0.33516972740338224,8200
83,0.2733566316190339,8300
84,0.20860771733877267,8400
85,0.18641149182522032,8500
86,0.3349288553773142,8600
87,0.2627553431555926,8700
88,0.25190719908685655,8800
89,0.2134470954781032,8900
90,0.31305606260781393,9000
91,0.19639297436896,9100
92,0.22416165588832493,9200
93,0.3158378541366549,9300
